날짜,종가,시가,고가,저가,거래량,변동 %
2024.6.21,"21,895","21,940","22,050","21,830",8.21K,-1.64%
2024.6.20,"22,260","22,095","22,320","22,055",15.63K,0.82%
2024.6.19,"22,080","22,035","22,330","21,950",28.71K,0.66%
2024.6.18,"21,935","21,820","21,950","21,795",12.33K,2.02%
2024.6.17,"21,500","21,485","21,790","21,375",9.68K,-0.44%
2024.6.14,"21,595","21,730","21,780","21,405",12.36K,-0.60%
2024.6.13,"21,725","21,775","21,860","21,625",51.65K,1.76%
2024.6.12,"21,350","21,020","21,350","21,020",16.06K,1.86%
2024.6.11,"20,960","20,865","21,080","20,755",6.21K,0.29%
2024.6.10,"20,900","20,890","20,980","20,745",3.35K,-0.24%
2024.6.7,"20,950","20,670","20,950","20,670",17.53K,2.57%
2024.6.5,"20,425","20,305","20,505","20,285",0.87K,1.11%
2024.6.4,"20,200","20,345","20,375","20,200",0.54K,-0.37%
2024.6.3,"20,275","20,070","20,350","20,070",39.24K,1.20%
2024.5.31,"20,035","20,310","20,310","20,035",26.03K,-1.31%
2024.5.30,"20,300","20,555","20,595","20,300",31.92K,-1.98%
2024.5.29,"20,710","21,190","21,190","20,665",14.60K,-1.31%
2024.5.28,"20,985","20,910","21,025","20,870",1.20K,0.38%
2024.5.27,"20,905","20,635","20,960","20,635",2.25K,2.08%
2024.5.24,"20,480","20,610","20,670","20,475",1.39K,-1.59%
2024.5.23,"20,810","20,910","21,025","20,710",239.51K,0.56%
2024.5.22,"20,695","20,555","20,805","20,525",2.13K,0.68%
2024.5.21,"20,555","20,540","20,650","20,520",2.07K,0.07%
2024.5.20,"20,540","20,580","20,635","20,400",1.02K,0.54%
2024.5.17,"20,430","20,745","20,755","20,430",3.34K,-1.52%
2024.5.16,"20,745","20,770","20,885","20,715",8.18K,1.84%
2024.5.14,"20,370","20,290","20,420","20,235",0.92K,0.94%
2024.5.13,"20,180","20,220","20,245","20,085",0.90K,0.15%
2024.5.10,"20,150","20,280","20,370","20,120",1.89K,0.00%
2024.5.9,"20,150","20,470","20,480","20,150",1.11K,-1.32%
2024.5.8,"20,420","20,405","20,475","20,320",1.79K,-0.44%
2024.5.7,"20,510","20,370","20,510","20,370",9.00K,2.83%
2024.5.3,"19,945","20,200","20,235","19,945",5.80K,-0.23%
2024.5.2,"19,990","19,765","20,035","19,765",11.34K,0.00%
2024.4.30,"19,990","19,950","20,170","19,950",3.72K,0.50%
2024.4.29,"19,890","20,015","20,015","19,770",7.95K,0.35%
2024.4.26,"19,820","19,920","19,925","19,750",1.86K,1.38%
2024.4.25,"19,550","19,680","19,905","19,550",2.83K,-2.49%
2024.4.24,"20,050","19,925","20,105","19,785",25.28K,3.89%
2024.4.23,"19,300","19,640","19,640","19,300",17.64K,-0.97%
2024.4.22,"19,490","19,535","19,535","19,190",1.88K,-0.38%
2024.4.19,"19,565","19,825","19,825","19,195",4.73K,-2.90%
