날짜,종가,시가,고가,저가,거래량,변동 %
2024.6.21,"13,740","13,660","13,785","13,570",2.96M,-0.18%
2024.6.20,"13,765","13,850","13,940","13,690",4.30M,-0.51%
2024.6.19,"13,835","13,815","13,945","13,735",3.99M,0.14%
2024.6.18,"13,815","13,910","13,980","13,720",3.41M,0.07%
2024.6.17,"13,805","13,750","13,940","13,685",2.73M,-0.11%
2024.6.14,"13,820","14,065","14,115","13,820",6.69M,-1.74%
2024.6.13,"14,065","14,245","14,290","14,065",3.26M,-0.25%
2024.6.12,"14,100","14,155","14,210","13,995",6.68M,0.11%
2024.6.11,"14,085","13,950","14,190","13,940",5.29M,1.33%
2024.6.10,"13,900","13,965","14,005","13,865",3.19M,-1.42%
2024.6.7,"14,100","13,865","14,100","13,790",4.07M,2.66%
2024.6.5,"13,735","13,585","13,795","13,560",9.19M,1.48%
2024.6.4,"13,535","13,335","13,630","13,320",4.22M,1.12%
2024.6.3,"13,385","13,290","13,435","13,240",4.06M,0.75%
2024.5.31,"13,285","13,235","13,325","13,055",6.37M,0.95%
2024.5.30,"13,160","13,200","13,335","13,160",5.77M,-0.72%
2024.5.29,"13,255","13,470","13,470","13,230",4.35M,-1.81%
2024.5.28,"13,500","13,465","13,575","13,445",2.61M,-0.11%
2024.5.27,"13,515","13,330","13,540","13,245",5.48M,1.58%
2024.5.24,"13,305","13,285","13,430","13,235",4.56M,-0.93%
2024.5.23,"13,430","13,470","13,565","13,380",5.88M,-0.30%
2024.5.22,"13,470","13,525","13,525","13,435",3.76M,0.26%
2024.5.21,"13,435","13,500","13,500","13,345",9.07M,0.11%
2024.5.20,"13,420","13,435","13,525","13,310",8.79M,0.22%
2024.5.17,"13,390","13,815","13,915","13,390",8.95M,-4.63%
2024.5.16,"14,040","14,170","14,255","14,005",4.96M,0.54%
2024.5.14,"13,965","13,885","14,085","13,850",7.20M,0.90%
2024.5.13,"13,840","14,125","14,150","13,810",5.75M,-1.84%
2024.5.10,"14,100","14,300","14,320","14,090",3.59M,-0.74%
2024.5.9,"14,205","14,275","14,340","14,205",3.84M,-0.73%
2024.5.8,"14,310","14,285","14,350","14,095",4.11M,0.14%
2024.5.7,"14,290","14,465","14,515","14,275",5.86M,0.32%
2024.5.3,"14,245","14,405","14,485","14,235",7.16M,-0.63%
2024.5.2,"14,335","14,305","14,420","14,265",2.81M,-0.42%
2024.4.30,"14,395","14,430","14,485","14,345",4.19M,0.00%
2024.4.29,"14,395","14,300","14,395","14,215",5.72M,1.34%
2024.4.26,"14,205","14,295","14,410","14,140",7.29M,0.42%
2024.4.25,"14,145","14,220","14,360","14,140",3.46M,-1.67%
2024.4.24,"14,385","14,290","14,385","14,160",4.99M,2.64%
2024.4.23,"14,015","14,015","14,140","13,970",3.98M,0.00%
2024.4.22,"14,015","13,995","14,205","13,875",6.72M,1.12%
2024.4.19,"13,860","13,840","13,890","13,540",9.35M,-1.18%
2024.4.18,"14,025","13,660","14,050","13,645",6.90M,3.01%
2024.4.17,"13,615","13,835","13,910","13,610",8.41M,-0.84%
2024.4.16,"13,730","13,890","13,960","13,675",8.30M,-2.17%
2024.4.15,"14,035","13,980","14,125","13,880",7.40M,-0.35%
2024.4.12,"14,085","14,160","14,275","14,050",5.31M,-0.18%
2024.4.11,"14,110","13,970","14,160","13,930",6.90M,-0.07%
2024.4.9,"14,120","14,205","14,395","14,050",7.00M,-0.18%
2024.4.8,"14,145","14,230","14,235","13,995",9.38M,-0.70%
2024.4.5,"14,245","14,345","14,425","14,150",8.06M,-1.55%
2024.4.4,"14,470","14,590","14,705","14,360",7.17M,0.00%
2024.4.3,"14,470","14,590","14,590","14,360",8.08M,-1.77%
2024.4.2,"14,730","15,155","15,195","14,700",6.74M,-3.16%
2024.4.1,"15,210","15,245","15,450","15,180",4.50M,0.26%
