날짜,종가,시가,고가,저가,거래량,변동 %
2024.6.20,481.47,486.43,486.81,479.68,32.23M,-0.77%
2024.6.18,485.21,485.01,485.9,483.43,24.44M,0.03%
2024.6.17,485.06,479.46,486.86,478.14,37.05M,1.22%
2024.6.14,479.19,476.52,479.26,476.05,23.37M,0.52%
2024.6.13,476.72,477.72,478.39,474.42,25.86M,0.54%
2024.6.12,474.15,471.99,476.5,471.29,34.53M,1.31%
2024.6.11,468.02,463.54,468.14,462.03,22.05M,0.69%
2024.6.10,464.83,461.82,465.19,461.53,20.72M,0.40%
2024.6.7,462.96,463,465.74,461.84,25.83M,-0.09%
2024.6.6,463.37,464.22,464.54,462.19,21.97M,-0.03%
2024.6.5,463.53,457.98,463.61,454.41,33.82M,2.02%
2024.6.4,454.37,452.87,455.58,451.13,23.77M,0.27%
2024.6.3,453.13,454.57,455.58,447.9,33.00M,0.54%
2024.5.31,450.71,451.78,452.48,443.05,55.94M,-0.19%
2024.5.30,451.55,455.5,455.64,450.21,30.71M,-1.07%
2024.5.29,456.44,455.48,458.24,455.34,29.74M,-0.70%
2024.5.28,459.68,459.18,459.74,456.69,26.22M,0.38%
2024.5.24,457.95,455.29,459.23,453.57,29.67M,0.95%
2024.5.23,453.66,460.55,460.58,451.85,40.90M,-0.45%
2024.5.22,455.71,456.06,456.82,453.08,25.12M,-0.02%
2024.5.21,455.8,453.04,455.99,452.84,23.17M,0.20%
2024.5.20,454.91,451.98,455.58,451.79,24.47M,0.70%
2024.5.17,451.76,452.11,452.72,449.54,35.80M,-0.05%
2024.5.16,451.98,452.71,454.68,451.84,33.59M,-0.20%
2024.5.15,452.9,448.43,453.14,446.96,40.96M,1.56%
2024.5.14,445.93,442.72,446.45,442.49,33.97M,0.64%
2024.5.13,443.08,443.99,444.09,441.65,22.99M,0.23%
2024.5.10,442.06,442.54,444.31,440.5,27.12M,0.24%
2024.5.9,441.02,440.33,441.6,438.54,24.46M,0.22%
2024.5.8,440.06,437.73,441.45,437.6,24.80M,-0.06%
2024.5.7,440.32,440.7,441.97,439.58,31.00M,0.01%
2024.5.6,440.28,437.05,440.28,436.59,28.06M,1.10%
2024.5.3,435.48,434.44,436.48,432.62,48.52M,2.01%
2024.5.2,426.9,425.3,427.81,420.63,34.86M,1.28%
2024.5.1,421.52,423.15,430.14,420.66,51.08M,-0.72%
2024.4.30,424.59,431.15,432.56,424.51,42.56M,-1.89%
2024.4.29,432.75,433.13,433.76,429.98,30.02M,0.41%
2024.4.26,431,427.62,432.55,426.92,41.60M,1.54%
2024.4.25,424.45,419.24,425.32,418.14,55.72M,-0.48%
2024.4.24,426.51,428.2,429.73,424.2,46.23M,0.34%
2024.4.23,425.07,420.77,426.28,418.87,43.30M,1.49%
2024.4.22,418.82,417.31,421.18,413.94,46.57M,1.01%
2024.4.19,414.65,422.22,422.75,413.07,75.23M,-2.07%
2024.4.18,423.41,426.49,428.24,422.83,46.05M,-0.57%
2024.4.17,425.84,433.1,433.12,424.9,56.29M,-1.22%
2024.4.16,431.1,430.9,433.76,429.7,47.30M,0.01%
2024.4.15,431.06,442.06,442.15,430.21,62.45M,-1.65%
2024.4.12,438.27,441.1,442.24,436.88,53.66M,-1.59%
2024.4.11,445.37,440.26,446.33,437.96,45.47M,1.60%
2024.4.10,438.37,437,439.24,436.28,61.16M,-0.87%
2024.4.9,442.23,442.96,443.24,437.44,39.16M,0.37%
2024.4.8,440.6,441.41,442.5,439.2,27.78M,0.03%
2024.4.5,440.47,436.78,443.17,435.96,54.74M,1.18%
2024.4.4,435.34,446.33,446.95,435.11,56.60M,-1.53%
2024.4.3,442.1,438.96,444,438.95,39.66M,0.22%
2024.4.2,441.11,440.08,441.43,438.03,44.26M,-0.86%
2024.4.1,444.95,444.97,447.53,443.02,38.43M,0.21%
2024.3.28,444.01,444.78,445.64,443.65,36.84M,-0.18%
2024.3.27,444.83,446.44,446.54,441.93,40.99M,0.34%
2024.3.26,443.32,446.3,447.23,443.09,34.14M,-0.32%
2024.3.25,444.76,443.55,446.26,442.54,27.79M,-0.36%
2024.3.22,446.38,445.35,447.49,444.49,28.03M,0.11%
2024.3.21,445.87,448.88,449.34,445.67,39.01M,0.47%
2024.3.20,443.77,439.78,444.11,438.06,43.65M,1.19%
2024.3.19,438.57,435.45,438.98,433.33,42.75M,0.25%
2024.3.18,437.48,438.73,441.04,437.24,45.80M,0.82%
2024.3.15,433.92,436.07,438.87,432.74,70.00M,-1.19%
2024.3.14,439.14,441.5,442.03,436.39,51.68M,-0.25%
2024.3.13,440.25,442.65,442.67,439.12,37.53M,-0.77%
2024.3.12,443.66,439.73,444.02,436.46,54.81M,1.43%
2024.3.11,437.39,437.51,438.66,435.44,45.86M,-0.37%
2024.3.8,439.02,445.81,448.64,438.34,72.10M,-1.44%
2024.3.7,445.45,442.42,446.72,440.86,43.73M,1.52%
2024.3.6,438.79,440.32,441.99,436.89,45.15M,0.63%
2024.3.5,436.05,440.94,440.95,433.65,56.84M,-1.79%
2024.3.4,444.02,445.61,446.04,443.77,33.89M,-0.36%
2024.3.1,445.61,439.9,446.58,439.84,43.85M,1.51%
2024.2.29,439,438.23,440.09,435.02,41.92M,0.86%
2024.2.28,435.27,435.43,436.67,434.3,32.19M,-0.53%
2024.2.27,437.6,437.67,437.99,435.02,33.13M,0.24%
2024.2.26,436.55,437.6,438.6,436.36,32.66M,-0.05%
2024.2.23,436.78,439.65,440.59,435.79,39.85M,-0.29%
2024.2.22,438.07,434.49,439.12,433.71,53.50M,2.93%
2024.2.21,425.61,424.55,425.7,421.63,48.20M,-0.40%
2024.2.20,427.32,428.55,430.08,423.5,53.08M,-0.75%
2024.2.16,430.57,434.89,434.99,429.85,53.72M,-0.91%
2024.2.15,434.51,433.92,434.98,431.33,38.44M,0.30%
2024.2.14,433.22,431.26,433.65,428.88,44.56M,1.09%
2024.2.13,428.55,427.28,431.27,425.33,63.98M,-1.56%
2024.2.12,435.34,436.94,439.14,434.65,32.71M,-0.39%
2024.2.9,437.05,433.94,437.85,433.14,36.94M,0.98%
2024.2.8,432.79,432.11,433.56,431.42,29.59M,0.19%
2024.2.7,431.99,430.41,432.83,429.09,37.38M,1.03%
2024.2.6,427.59,429.61,430.22,425.22,35.85M,-0.20%
2024.2.5,428.45,429.07,429.61,425,39.65M,-0.13%
2024.2.2,429.01,423.8,430.24,422.79,59.60M,1.69%
2024.2.1,421.88,418.79,422.38,417.81,48.30M,1.18%
2024.1.31,416.97,420.85,422.87,416.79,63.42M,-1.96%
2024.1.30,425.3,427.1,427.68,424.38,34.07M,-0.67%
2024.1.29,428.15,424.27,428.35,423.61,38.23M,1.02%
2024.1.26,423.81,424.44,426.21,423.15,37.14M,-0.60%
2024.1.25,426.35,428.36,429.04,423.98,43.38M,0.12%
2024.1.24,425.83,427.44,429.85,425.33,46.46M,0.55%
2024.1.23,423.48,422.43,423.7,420.57,32.24M,0.41%
2024.1.22,421.73,423.41,424.73,421.12,44.40M,0.13%
2024.1.19,421.18,415.22,421.34,414.63,70.33M,1.98%
2024.1.18,412.99,410.52,413.58,409.16,58.70M,1.42%
2024.1.17,407.21,406.17,407.58,402.92,54.12M,-0.56%
2024.1.16,409.52,408.31,411.12,406.83,43.68M,-0.01%
2024.1.12,409.56,410.4,411.25,408.15,39.59M,0.05%
2024.1.11,409.35,409.79,411.2,404.24,54.54M,0.21%
2024.1.10,408.5,406.07,409.52,405.17,33.49M,0.68%
2024.1.9,405.75,401.91,406.69,401.71,39.13M,0.20%
2024.1.8,404.95,397.99,405.24,397.84,41.88M,2.07%
2024.1.5,396.75,396.45,399.56,395.34,44.92M,0.12%
2024.1.4,396.28,396.44,399.59,396.06,39.01M,-0.51%
2024.1.3,398.33,399.93,401,397.89,46.66M,-1.06%
2024.1.2,402.59,405.84,406.09,400.24,57.40M,-1.69%
2023.12.29,409.52,411.28,411.64,407.58,42.66M,-0.43%
2023.12.28,411.3,412.67,412.92,410.94,26.74M,-0.05%
2023.12.27,411.5,410.95,411.79,410.08,31.83M,0.15%
2023.12.26,410.88,409.25,411.56,409.15,22.15M,0.61%
2023.12.22,408.38,409,409.97,406.48,34.31M,0.15%
2023.12.21,407.77,407.06,408.14,404.47,45.28M,1.16%
2023.12.20,403.08,408.35,410.47,402.9,53.22M,-1.49%
2023.12.19,409.16,407.54,409.28,407.35,35.05M,0.51%
2023.12.18,407.08,404.93,407.99,404.6,46.61M,0.43%
2023.12.15,405.34,404.18,406.54,403.57,62.90M,0.48%
2023.12.14,403.39,404.98,406.3,400.34,55.14M,-0.09%
2023.12.13,403.74,399.62,404.36,398.84,53.60M,1.27%
2023.12.12,398.67,395.56,398.79,394.41,38.69M,0.80%
2023.12.11,395.52,391.74,395.79,391.53,40.82M,0.85%
2023.12.8,392.17,388.67,392.62,388.48,46.69M,0.45%
2023.12.7,390.43,388.07,391.27,386.96,49.28M,1.40%
2023.12.6,385.05,390.27,390.37,384.7,41.52M,-0.58%
2023.12.5,387.29,384.39,388.5,384.21,42.09M,0.25%
2023.12.4,386.32,386.09,386.6,382.66,50.74M,-0.93%
2023.12.1,389.94,387.75,390.54,386.07,40.49M,0.29%
2023.11.30,388.83,390.08,390.55,385.82,52.31M,-0.25%
2023.11.29,389.81,392.69,394.14,389.46,38.49M,-0.10%
2023.11.28,390.19,388.41,390.78,388.05,35.25M,0.26%
2023.11.27,389.17,389.01,391.15,388.28,33.86M,-0.09%
2023.11.24,389.51,389.65,390.25,388.5,15.72M,-0.14%
